ILCE_UAVT,District,ADI,Category,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,Capacity,AMBULANS,Nbhood,Latitude,Longitude
1663,ÞÝÞLÝ,Private Ýac Ýstanbul Aesthetic Mecial Center,Mecial Center Private,Keskin Kalem Sk. No:1 ESENTEPE/ÞÝÞLÝ,0212 211 24 00,www.istanbulaestheticcenter.com,Var,8,Yok,ESENTEPE,41.06918643,29.00658199
2048,ARNAVUTKÖY,Private Boðazköy Þifa Saðlýk Evi,Saðlýk Evi,Okul Yolu Sk. No:85 YUNUS EMRE/ARNAVUTKÖY,0212 684 00 09,,,,,YUNUS EMRE,41.1849259,28.76044483
1622,SÝLÝVRÝ,Büyük Çavuþlu Dr. Atakan Karanfil Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Güven Sk. No:55 BÜYÜK ÇAVUÞLU/SÝLÝVRÝ,0212 741 68 98,,Yok,0,,BÜYÜK ÇAVUÞLU,41.23909755,28.06435752
1604,SARIYER,75. Yýl Kilyos Kumköy Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Kale Cad. No:5 KUMKÖY/SARIYER,0212 201 24 26,,Yok,0,,KUMKÖY (KÝLYOS),41.24565653,29.03703061
1327,FATÝH,Çapa Anýl Medikal,Medikal,Börekçi Veli Sk. No:24 ÞEHREMÝNÝ/FATÝH,0212 585 61 98,,,,,ÞEHREMÝNÝ,41.01515005,28.93217435
1327,FATÝH,Ýstanbul Üniversitesi Týp Fakültesi Cerrahi Týp Bilimleri,Policlinic,Turgut Özal Millet Cad. No:118R TOPKAPI/FATÝH,0212 414 20 00 - 0212 414 30 00,http://istanbultip.istanbul.edu.tr,Yok,750,,TOPKAPI,41.01723579,28.93443849
1622,SÝLÝVRÝ,Silivri 2 Nolu Cezaevi Aile Saðlýðý Merkezi,Aile Saðlýðý Merkezi,Çanta Cad. No:162B SEMÝZKUMLAR/SÝLÝVRÝ,0212 726 00 57,,Yok,0,,SEMÝZKUMLAR,41.08633577,28.15317974
1604,SARIYER,Genel Cerrah Op. Dr. Mehmet Bayraktar,Clinic,Yeni Mahalle Cad. No:9 MERKEZ/SARIYER,0532 234 67 80,,,,,SARIYER MERKEZ,41.16834661,29.05708114
1604,SARIYER,Sarýyer Aðýz ve Diþ Saðlýðý Merkezi,Aðýz ve Diþ Saðlýðý Merkezi,Araba Yolu Cad. No:33 CUMHURÝYET/SARIYER,0212 328 35 35,,Yok,0,,CUMHURÝYET,41.14482673,29.03149477
1622,SÝLÝVRÝ,Özgün Yaþlý Bakýmevi,Bakým Evi,Çelebi Sk. No:5 YENÝ/SÝLÝVRÝ,0212 731 66 30,www.ozgunyaslibakimmerkezi.com,,54,Yok,YENÝ,41.07849176,28.25653344
