Nbhood,District,Care In Hospital
Serifali,Umraniye,1
Tantavi,Umraniye,2
Tatlisu,Umraniye,1
Tepeustu,Umraniye,4
Topagaci,Umraniye,7
Yamanevler,Umraniye,4
Yukari dudullu,Umraniye,6
Acibadem,Uskudar,13
Ahmediye,Uskudar,9
Altunizade,Uskudar,6
Aziz mahmut hudayi,Uskudar,13
Bahcelievler,Uskudar,11
Barbaros,Uskudar,8
Beylerbeyi,Uskudar,4
Bulgurlu,Uskudar,6
Burhaniye,Uskudar,10
Cumhuriyet,Uskudar,11
Cengelkoy,Uskudar,11
Ferah,Uskudar,19
Guzeltepe,Uskudar,6
Icadiye,Uskudar,15
Kandilli,Uskudar,0
Kisikli,Uskudar,10
Kirazlitepe,Uskudar,14
Kuleli,Uskudar,0
Kuzguncuk,Uskudar,5
Kucukcamlica,Uskudar,7
Kucuksu,Uskudar,4
Kupluce,Uskudar,11
Mehmet akif ersoy,Uskudar,13
Mimar sinan,Uskudar,29
Muratreis,Uskudar,16
Salacak,Uskudar,9
Selami ali,Uskudar,12
Selimiye,Uskudar,8
Sultantepe,Uskudar,18
Unalan,Uskudar,23
Valide-i atik,Uskudar,19
Yavuzturk,Uskudar,15
Zeynep kamil,Uskudar,10
Bestelsiz,Zeytinburnu,147
Cirpici,Zeytinburnu,202
Gokalp,Zeytinburnu,118
Kazlicesme,Zeytinburnu,36
Maltepe,Zeytinburnu,44
Merkezefendi,Zeytinburnu,105
Nuripasa,Zeytinburnu,173
Seyitnizam,Zeytinburnu,134
Sumer,Zeytinburnu,229
Telsiz,Zeytinburnu,223
Veliefendi,Zeytinburnu,175
Yenidogan,Zeytinburnu,63
Yesiltepe,Zeytinburnu,118
