_id,District,Nbhood,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,Care In Hospital,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma
289,CATALCA,AYDINLAR,191783,0,1,9,39,0,0,0,0,0,0,0,249
290,CATALCA,BAHSAYIS,40902,0,3,15,37,0,0,0,0,0,0,0,5
291,CATALCA,BASAK,191821,0,0,5,19,0,0,0,0,0,0,0,186
292,CATALCA,BELGRAT,191823,0,0,5,20,0,0,0,0,0,0,0,19
293,CATALCA,CELEPKOY,191825,0,0,3,12,0,0,0,0,0,0,0,12
294,CATALCA,CAKIL,40899,10,47,218,397,0,0,2,4,1,1,2,8
295,CATALCA,CANAKCA,191785,1,7,46,142,0,0,0,1,0,0,0,47
296,CATALCA,CIFTLIKKOY,40917,0,2,17,67,0,0,0,0,0,0,0,63
297,CATALCA,DAGYENICE,191787,1,3,15,45,0,0,0,0,0,0,0,8
298,CATALCA,ELBASAN,191789,2,9,48,100,0,0,0,0,0,0,1,0
299,CATALCA,FATIH,40904,0,1,9,41,0,0,0,0,0,0,0,42
300,CATALCA,FERHATPASA,40897,8,40,225,550,3,1,15,38,1,1,2,3
301,CATALCA,GOKCEALI,191791,1,6,40,109,0,0,0,1,0,0,0,74
302,CATALCA,GUMUSPINAR,191793,0,1,8,31,0,0,0,0,0,0,0,3
303,CATALCA,HALLACLI,191795,3,8,37,98,0,0,0,1,0,0,1,48
304,CATALCA,HISARBEYLI,191827,0,0,3,13,0,0,0,0,0,0,0,50
305,CATALCA,IHSANIYE,191797,2,8,37,102,0,0,0,1,0,0,0,59
306,CATALCA,INCEGIZ,191799,1,7,42,108,0,0,0,0,0,1,0,72
307,CATALCA,IZZETTIN,40900,1,7,56,150,0,0,0,0,0,1,1,88
308,CATALCA,KABAKCA,191801,5,17,76,193,0,0,0,1,0,0,1,16
309,CATALCA,KALEICI,40898,9,42,213,436,1,1,6,15,1,1,2,232
310,CATALCA,KALFA,191803,0,1,11,39,0,0,0,0,0,0,0,16
311,CATALCA,KARACAKOY MERKEZ,40916,0,2,27,98,0,0,0,0,0,0,1,13
312,CATALCA,KARAMANDERE,191829,0,1,7,27,0,0,0,0,0,0,0,18
313,CATALCA,KESTANELIK,191805,1,6,41,118,0,0,1,1,0,0,0,12
314,CATALCA,KIZILCAALI,191807,0,1,8,26,0,0,0,0,0,0,0,33
315,CATALCA,MURATBEY MERKEZ,40905,1,13,80,157,0,0,0,1,0,1,1,6
316,CATALCA,NAKKAS,40909,2,8,39,100,0,0,0,0,0,0,0,50
317,CATALCA,OKLALI,191809,1,3,22,63,0,0,0,0,0,0,0,16
318,CATALCA,ORMANLI,191831,0,1,13,48,0,0,0,0,0,0,0,69
319,CATALCA,OVAYENICE,40901,11,39,159,261,0,0,1,2,1,1,1,1
320,CATALCA,ORCUNLU,191811,0,2,18,56,0,0,0,0,0,0,0,4
321,CATALCA,ORENCIK,191813,0,1,11,43,0,0,0,0,0,0,0,7
322,CATALCA,SUBASI,191815,2,8,47,130,0,0,0,0,0,0,0,88
323,CATALCA,YALIKOY,191833,0,1,12,54,0,0,0,0,0,0,0,40
324,CATALCA,YAYLACIK,191817,0,0,0,2,0,0,0,0,0,0,0,6
325,CATALCA,YAZLIK,191819,0,0,6,22,0,0,0,0,0,0,0,25
326,CEKMEKOY,ALEMDAG,40749,1,7,56,160,0,0,1,2,0,0,0,140
327,CEKMEKOY,AYDINLAR,40766,1,5,53,191,0,0,1,10,0,0,1,296
328,CEKMEKOY,CUMHURIYET,40769,1,4,39,139,0,0,2,7,0,0,0,296
329,CEKMEKOY,CAMLIK,40753,0,2,25,145,0,0,1,7,0,0,0,233
330,CEKMEKOY,CATALMESE,40750,1,8,63,193,0,0,1,4,0,0,0,184
331,CEKMEKOY,EKSIOGLU,40751,1,7,59,171,0,0,1,4,0,0,0,180
332,CEKMEKOY,GUNGOREN,40768,0,3,22,82,0,0,1,4,0,0,0,146
333,CEKMEKOY,HAMIDIYE,40754,1,4,46,224,0,0,2,12,1,2,2,118
334,CEKMEKOY,HUSEYINLI,191993,1,3,22,67,0,0,0,0,0,0,0,355
335,CEKMEKOY,KIRAZLIDERE,40770,0,2,21,87,0,0,1,4,0,0,0,22
336,CEKMEKOY,KOCULLU,191995,1,5,27,67,0,0,0,1,0,0,0,119
337,CEKMEKOY,MEHMET AKIF,40755,1,7,66,310,0,0,3,19,0,0,1,42
338,CEKMEKOY,MERKEZ,40756,1,13,113,364,0,0,0,8,0,0,1,455
339,CEKMEKOY,MIMAR SINAN,40757,1,7,70,251,0,0,2,12,0,0,0,459
340,CEKMEKOY,NISANTEPE,40752,0,4,48,143,0,0,0,0,0,0,0,399
341,CEKMEKOY,OMERLI,40758,3,14,107,281,1,0,0,2,2,2,2,142
342,CEKMEKOY,RESADIYE,191997,0,6,58,169,0,0,0,0,0,0,0,0
343,CEKMEKOY,SIRAPINAR,191999,1,3,25,70,0,0,0,0,0,0,0,121
344,CEKMEKOY,SOGUKPINAR,40767,0,3,28,95,0,0,0,3,0,0,0,60
345,CEKMEKOY,SULTANCIFTLIGI,40764,1,4,32,115,0,0,1,6,0,0,0,28
346,CEKMEKOY,TASDELEN,40765,0,2,18,68,0,0,1,4,0,0,0,127
347,ESENLER,BIRLIK,40348,17,41,228,567,23,13,63,124,0,0,1,233
348,ESENLER,CIFTE HAVUZLAR,40340,12,23,68,88,11,8,29,51,0,0,1,119
349,ESENLER,DAVUTPASA,40342,28,57,226,387,37,20,96,174,1,1,2,1713
350,ESENLER,FATIH,40350,41,84,394,837,72,39,190,353,1,1,2,3725
351,ESENLER,FEVZI CAKMAK,40345,32,62,263,544,62,34,162,295,0,1,1,2788
352,ESENLER,HAVAALANI,40354,15,40,224,588,20,11,55,111,0,0,1,1579
353,ESENLER,KAZIM KARABEKIR,40346,26,52,250,604,51,28,135,252,0,1,1,2463
354,ESENLER,KEMER,40352,31,64,270,519,42,23,111,205,1,1,2,1938
355,ESENLER,MENDERES,40347,35,64,266,576,70,39,184,334,0,0,1,2828
356,ESENLER,MIMAR SINAN,40341,23,43,162,293,36,20,94,168,0,0,1,1342
357,ESENLER,NAMIK KEMAL,40344,27,54,199,328,33,19,87,157,1,1,2,1680
358,ESENLER,NINE HATUN,40343,49,90,367,735,102,55,267,480,1,0,1,4062
359,ESENLER,ORUCREIS,40355,8,28,220,721,11,6,32,74,1,1,2,1249
360,ESENLER,TUNA,40351,32,74,365,775,47,26,125,238,0,0,1,2474
361,ESENLER,TURGUT REIS,40353,7,22,178,633,11,6,31,70,0,0,1,1206
362,ESENLER,YAVUZ SELIM,40349,8,15,59,107,10,5,26,47,0,0,0,348
363,ESENYURT,AKCABURGAZ,40880,9,44,232,457,8,4,27,62,1,2,4,1166
364,ESENYURT,AKEVLER,181498,2,6,27,62,6,3,16,33,0,0,1,383
365,ESENYURT,AKSEMSEDDIN,181504,11,34,131,194,12,7,33,63,0,0,1,644
366,ESENYURT,ARDICLI,40861,9,34,149,226,9,4,27,54,1,0,1,566
367,ESENYURT,ASIK VEYSEL,181518,5,10,47,174,13,7,36,67,0,0,1,629
368,ESENYURT,ATATURK,40881,12,45,192,306,12,6,34,70,1,1,2,1078
369,ESENYURT,BAGLARCESME,40855,20,62,291,550,38,21,103,201,1,1,2,2579
370,ESENYURT,BALIKYOLU,181510,19,70,306,509,29,16,81,162,1,1,1,2456
371,ESENYURT,BARBAROS HAYRETTIN PASA,181488,5,14,47,141,26,13,69,126,1,1,1,1126
372,ESENYURT,BATTALGAZI,181526,10,35,168,322,15,8,44,90,0,0,1,1295
373,ESENYURT,CUMHURIYET,40865,2,4,12,49,14,7,36,64,0,0,1,524
374,ESENYURT,CINAR,181514,14,45,224,448,26,14,72,145,0,0,1,2209
375,ESENYURT,ESENKENT,40862,5,18,96,197,8,3,21,42,0,0,1,637
376,ESENYURT,FATIH,40851,20,52,226,428,37,22,102,196,1,1,1,2269
377,ESENYURT,GOKEVLER,181490,2,6,22,55,12,5,33,60,0,0,1,325
378,ESENYURT,GUZELYURT,40895,9,24,114,241,19,9,53,102,1,1,2,1172
379,ESENYURT,HURRIYET,181482,17,59,248,424,28,16,82,163,1,1,2,2240
380,ESENYURT,INCIRTEPE,40852,23,67,279,471,38,21,105,200,1,1,1,2478
381,ESENYURT,INONU,40853,16,50,227,404,31,16,84,162,1,1,1,2201
382,ESENYURT,ISTIKLAL,40879,12,44,207,403,17,10,49,101,0,1,1,1349
383,ESENYURT,KOZA,181522,4,13,57,118,4,2,14,26,0,0,1,199
384,ESENYURT,MEHMET AKIF ERSOY,181494,7,23,114,251,23,12,65,129,0,1,1,1670
385,ESENYURT,MEHTERCESME,40854,16,49,237,491,42,23,120,240,1,1,2,2813
386,ESENYURT,MEVLANA,181492,4,9,29,93,22,12,60,107,0,1,1,723
387,ESENYURT,NAMIK KEMAL,40856,33,77,289,452,40,22,109,201,1,1,2,2307
388,ESENYURT,NECIP FAZIL KISAKUREK,181484,14,49,208,344,22,12,62,123,0,1,1,1687
389,ESENYURT,ORHAN GAZI,40863,6,22,103,193,6,3,18,36,1,1,1,698
390,ESENYURT,OSMANGAZI,181480,29,117,542,926,25,14,73,153,2,2,4,2628
391,ESENYURT,ORNEK,40857,16,53,246,429,22,12,61,122,0,0,1,1580
392,ESENYURT,PINAR,40864,24,73,341,649,47,27,130,255,1,1,2,3114
393,ESENYURT,PIRI REIS,181486,2,6,24,78,13,7,35,65,0,0,1,542
394,ESENYURT,SAADETDERE,40858,33,78,297,476,45,25,120,223,1,1,2,2280
395,ESENYURT,SELAHADDIN EYYUBI,181516,12,46,223,439,17,9,51,109,1,1,2,1765
396,ESENYURT,SULTANIYE,181508,11,31,145,285,22,12,61,118,0,0,1,1433
397,ESENYURT,SULEYMANIYE,181512,17,53,261,514,32,18,88,174,1,1,1,2401
398,ESENYURT,SEHITLER,181524,11,42,196,350,17,9,48,97,0,0,1,1443
399,ESENYURT,TALATPASA,40859,16,51,238,460,34,18,93,184,1,1,2,2156
400,ESENYURT,TURGUT OZAL,181502,19,48,190,329,34,19,93,174,1,1,2,2275
401,ESENYURT,UCEVLER,181496,13,40,196,413,30,16,82,163,0,0,1,2031
402,ESENYURT,YENIKENT,40860,16,46,217,411,27,15,73,142,0,0,1,1788
403,ESENYURT,YESILKENT,40866,13,41,185,354,36,20,101,199,1,1,3,1799
404,ESENYURT,YUNUS EMRE,181506,18,58,243,384,28,15,78,149,0,0,1,1948
405,ESENYURT,ZAFER,181500,7,20,85,172,17,9,47,89,1,1,2,804
406,EYUP,AGACLI,191741,1,4,20,52,0,0,0,0,0,0,0,23
407,EYUP,AKPINAR,191743,4,10,30,65,0,0,2,3,0,0,0,48
408,EYUP,AKSEMSETTIN,40358,4,18,107,402,3,2,14,38,0,1,1,768
409,EYUP,ALIBEYKOY,40359,19,49,203,397,9,6,26,52,0,1,1,620
410,EYUP,CIRCIR,40360,7,26,148,452,2,1,13,30,0,0,1,701
411,EYUP,CIFTALAN,191745,1,3,7,16,0,0,0,0,0,0,0,11
412,EYUP,DEFTERDAR,40361,29,59,207,289,15,10,37,70,0,1,1,515
413,EYUP,DUGMECILER,40362,14,37,183,340,14,9,39,77,0,0,1,1229
414,EYUP,EMNIYETTEPE,40363,10,25,108,240,5,3,15,30,0,0,1,436
415,EYUP,ESENTEPE,40364,10,30,137,341,5,4,17,37,0,0,1,822
416,EYUP,GOKTURK MERKEZ,40379,15,64,321,745,6,1,31,76,1,1,2,1564
417,EYUP,GUZELTEPE,40366,16,43,211,532,9,6,29,62,1,1,1,1175
418,EYUP,ISIKLAR,191747,1,5,22,57,0,0,0,0,0,0,0,24
419,EYUP,IHSANIYE,191749,0,2,6,14,0,0,0,0,0,0,0,9
420,EYUP,ISLAMBEY,40367,22,54,236,482,16,11,44,87,0,0,1,844
421,EYUP,KARADOLAP,40368,12,41,197,524,5,4,21,47,0,0,1,832
422,EYUP,MERKEZ,40365,26,53,187,322,15,11,43,79,1,1,1,891
423,EYUP,MIMAR SINAN,40369,5,21,101,197,1,1,5,10,0,0,1,209
424,EYUP,MITHATPASA,40370,11,40,180,338,2,2,8,18,1,1,1,324
425,EYUP,NISANCI,40371,24,66,297,492,18,13,50,98,1,1,1,1144
426,EYUP,ODAYERI,191751,0,2,11,27,0,0,0,0,0,0,0,10
427,EYUP,PIRINCCI,191753,3,13,65,165,0,0,1,6,0,0,0,112
428,EYUP,RAMI CUMA,40372,10,26,119,244,11,7,32,61,0,0,0,911
429,EYUP,RAMI YENI,40373,15,36,157,288,11,7,31,60,0,0,1,972
430,EYUP,SAKARYA,40374,6,22,101,265,3,2,11,23,0,0,0,349
431,EYUP,SILAHTARAGA,40375,5,17,90,240,3,2,9,20,0,0,0,342
432,EYUP,TOPCULAR,40376,26,62,260,366,9,5,26,50,1,1,2,455
433,EYUP,YESILPINAR,40378,4,13,83,345,6,3,21,46,0,0,1,727
434,FATIH,AKSARAY,99127,81,130,350,510,40,27,103,178,1,1,2,1136
435,FATIH,AKSEMSETTIN,99137,64,100,320,654,67,41,174,303,1,1,1,2010
436,FATIH,ALEMDAR,40307,10,21,78,161,0,0,2,3,0,1,0,33
437,FATIH,ALI KUSCU,99141,49,77,222,389,42,28,111,193,0,0,1,1255
438,FATIH,ATIKALI,99140,45,73,218,375,52,32,134,234,0,0,1,1747
439,FATIH,AYVANSARAY,99146,111,214,568,848,56,47,154,275,1,1,2,2164
440,FATIH,BALABANAGA,40308,7,12,37,68,0,0,1,2,0,0,0,10
441,FATIH,BALAT,99145,78,144,392,645,51,41,137,246,0,0,1,1618
442,FATIH,BEYAZIT,40309,19,32,94,135,0,0,1,2,1,0,1,8
443,FATIH,BINBIRDIREK,40310,12,22,69,100,3,2,7,13,0,0,1,110
444,FATIH,CANKURTARAN,40311,25,53,157,211,4,4,11,20,0,0,1,174
445,FATIH,CERRAHPASA,99128,50,76,209,293,41,25,106,182,0,1,1,1086
446,FATIH,CIBALI,99143,42,82,245,365,23,18,63,112,0,0,1,964
447,FATIH,DEMIRTAS,40312,18,30,79,105,1,1,3,6,0,0,1,35
448,FATIH,DERVIS ALI,40422,60,114,333,560,49,35,131,233,0,0,1,1856
449,FATIH,EMIN SINAN,40313,13,25,77,115,3,3,9,16,0,0,0,142
450,FATIH,HACI KADIN,40314,9,19,57,74,2,2,7,12,0,0,0,58
451,FATIH,HASEKI SULTAN,99129,47,72,208,350,45,27,117,201,0,0,1,1150
452,FATIH,HIRKA-I SERIF,99138,78,125,362,596,83,52,217,376,1,1,2,2714
453,FATIH,HOBYAR,40315,11,20,67,137,0,0,0,1,0,0,1,9
454,FATIH,HOCA GIYASETTIN,40316,12,25,72,91,3,2,8,14,0,0,0,106
455,FATIH,HOCAPASA,40317,13,24,75,146,0,0,0,1,0,0,1,18
456,FATIH,ISKENDERPASA,40397,41,70,226,487,33,21,88,154,0,1,1,1152
457,FATIH,KALENDERHANE,40319,4,9,28,43,1,1,4,7,0,0,0,50
458,FATIH,KARAGUMRUK,99139,42,70,204,310,41,27,108,187,0,1,1,1194
459,FATIH,KATIP KASIM,40320,29,48,128,181,7,5,18,31,0,0,1,249
460,FATIH,KEMALPASA,40318,9,17,60,149,1,1,4,7,0,0,0,36
461,FATIH,KOCA MUSTAFAPASA,40390,128,185,456,621,120,78,309,527,1,1,2,2981
462,FATIH,KUCUK AYASOFYA,40321,27,53,164,232,7,6,20,36,0,0,1,335
463,FATIH,MERCAN,40322,12,26,85,144,0,0,1,2,0,0,0,5
464,FATIH,MESIHPASA,40323,7,13,43,103,1,0,3,4,0,0,0,12
465,FATIH,MEVLANAKAPI,99134,80,124,330,457,84,54,218,375,1,1,1,2620
466,FATIH,MIMAR HAYRETTIN,40324,29,51,151,226,5,4,14,24,0,0,1,91
467,FATIH,MIMAR KEMALETTIN,40325,21,35,108,181,2,1,5,8,0,0,1,29
468,FATIH,MOLLA FENARI,40326,20,36,112,176,0,0,2,3,0,0,0,13
469,FATIH,MOLLA GURANI,99136,52,82,251,472,48,29,124,215,0,1,1,1405
470,FATIH,MOLLA HUSREV,40327,6,13,43,63,2,2,6,10,0,0,0,95
471,FATIH,MUHSINE HATUN,40328,19,33,99,153,6,4,16,28,0,0,0,276
472,FATIH,NISANCA,40329,29,51,155,250,12,8,31,55,0,0,1,539
473,FATIH,RUSTEMPASA,40330,6,12,38,63,0,0,0,0,0,0,0,2
474,FATIH,SARAC ISHAK,40331,13,23,70,107,3,2,9,15,0,0,0,126
475,FATIH,SARIDEMIR,40332,15,21,44,49,0,0,1,2,0,0,0,3
476,FATIH,SEYYID OMER,40387,77,119,341,572,91,54,236,407,1,1,2,2979
477,FATIH,SILIVRIKAPI,99132,53,83,237,371,66,39,171,294,0,1,1,2012
478,FATIH,SULTAN AHMET,40333,17,34,98,124,4,3,10,18,0,0,0,128
479,FATIH,SURURI,40334,10,19,61,101,0,0,0,1,0,0,0,4
480,FATIH,SULEYMANIYE,40335,9,20,68,112,1,1,3,6,0,0,0,76
481,FATIH,SUMBUL EFENDI,99131,56,87,229,310,63,40,164,281,0,1,1,2220
482,FATIH,SEHREMINI,99133,68,109,327,571,76,44,195,338,1,1,2,2320
483,FATIH,SEHSUVAR BEY,40336,23,41,124,187,6,5,16,28,0,0,1,234
484,FATIH,TAHTAKALE,40337,10,20,65,111,0,0,0,0,0,0,0,4
485,FATIH,TAYA HATUN,40338,12,23,69,106,0,0,1,1,0,0,0,13
486,FATIH,TOPKAPI,99135,61,94,242,338,46,31,120,206,1,1,1,1193
487,FATIH,YAVUZ SINAN,40339,9,17,48,59,2,1,5,8,0,0,0,46
488,FATIH,YAVUZ SULTAN SELIM,99144,54,104,308,531,39,30,107,191,0,0,1,1849
489,FATIH,YEDIKULE,99130,137,185,410,448,118,83,301,514,1,1,2,2588
490,FATIH,ZEYREK,99142,44,79,238,422,34,24,91,161,0,1,1,1502
491,GAZIOSMANPASA,BAGLARBASI,40454,8,24,142,423,10,6,29,60,0,0,1,918
492,GAZIOSMANPASA,BARBAROS HAYRETTIN PASA,40459,9,25,185,655,12,6,35,76,1,1,1,1180
493,GAZIOSMANPASA,FEVZI CAKMAK,40457,5,13,82,256,6,3,18,39,0,0,0,664
494,GAZIOSMANPASA,HURRIYET,40458,10,24,147,435,13,7,36,72,0,0,1,1004
495,GAZIOSMANPASA,KARADENIZ,40464,9,25,192,759,15,7,44,99,1,1,1,1571
496,GAZIOSMANPASA,KARAYOLLARI,40463,5,21,144,492,5,3,19,48,0,0,1,939
497,GAZIOSMANPASA,KARLITEPE,40451,4,16,90,251,4,3,13,27,0,0,0,620
498,GAZIOSMANPASA,KAZIM KARABEKIR,40461,4,13,95,438,7,3,21,49,0,0,1,791
499,GAZIOSMANPASA,MERKEZ,40455,18,46,249,622,15,9,42,84,1,1,1,1234
500,GAZIOSMANPASA,MEVLANA,40462,1,2,24,135,1,0,4,13,0,0,0,268
501,GAZIOSMANPASA,PAZARICI,40450,8,26,136,333,6,4,17,36,0,0,0,466
502,GAZIOSMANPASA,SARIGOL,40453,15,51,219,561,12,9,38,78,0,0,1,1114
503,GAZIOSMANPASA,SEMSIPASA,40456,4,11,87,307,6,4,18,38,0,0,0,580
504,GAZIOSMANPASA,YENI MAHALLE,40460,11,34,180,515,14,8,39,81,0,1,1,1304
505,GAZIOSMANPASA,YENIDOGAN,40452,7,29,127,308,5,4,16,35,0,0,0,348
506,GAZIOSMANPASA,YILDIZTABYA,40449,11,43,177,479,9,7,29,63,0,0,1,962
507,GUNGOREN,ABDURRAHMAN NAFIZ GURMAN,40504,22,40,122,207,67,37,174,299,0,1,2,2279
508,GUNGOREN,AKINCILAR,40497,21,35,150,307,54,29,139,248,0,0,1,1911
509,GUNGOREN,GENCOSMAN,40498,27,57,260,521,66,35,175,323,1,1,3,3121
510,GUNGOREN,GUNESTEPE,40499,40,75,348,719,102,55,267,487,1,1,3,4645
511,GUNGOREN,GUVEN,40500,24,39,144,282,63,33,161,282,0,1,1,1754
512,GUNGOREN,HAZNEDAR,40501,30,48,176,351,72,38,185,324,0,1,1,1997
513,GUNGOREN,MARESAL CAKMAK,40502,32,54,234,487,81,43,210,376,1,1,2,2906
514,GUNGOREN,MEHMET NESIH OZMEN,40506,34,64,214,341,41,26,109,190,1,1,3,1050
515,GUNGOREN,MERKEZ,40496,44,75,325,661,112,61,292,521,1,1,3,4534
516,GUNGOREN,SANAYI,40503,38,75,300,509,44,24,117,209,1,1,3,1389
517,GUNGOREN,TOZKOPARAN,40505,30,49,134,212,52,34,136,237,1,0,2,1892
518,KADIKOY,19 MAYIS,40528,3,8,42,204,5,2,18,38,0,1,1,482
519,KADIKOY,ACIBADEM,40509,9,20,113,367,12,6,38,73,1,0,1,953
520,KADIKOY,BOSTANCI,40523,8,20,96,345,11,4,35,67,1,1,1,814
521,KADIKOY,CADDEBOSTAN,40521,6,15,74,260,6,2,22,43,0,0,1,489
522,KADIKOY,CAFERAGA,40512,17,38,196,648,13,6,39,74,1,0,1,787
523,KADIKOY,DUMLUPINAR,40518,12,33,152,248,11,6,31,58,0,1,1,713
524,KADIKOY,EGITIM,40516,18,49,221,396,15,9,40,75,0,0,1,832
525,KADIKOY,ERENKOY,40524,5,12,53,232,8,3,26,49,0,0,1,581
526,KADIKOY,FENERBAHCE,40514,5,15,81,256,4,1,15,30,0,0,1,446
527,KADIKOY,FENERYOLU,40515,4,10,49,198,6,2,21,40,0,0,0,517
528,KADIKOY,FIKIRTEPE,40517,17,43,207,316,10,6,29,55,0,1,1,714
529,KADIKOY,GOZTEPE,40520,6,14,66,292,7,3,28,54,1,1,1,627
530,KADIKOY,HASANPASA,40510,18,40,182,405,16,10,46,87,0,0,1,800
531,KADIKOY,KOSUYOLU,40508,6,23,116,280,2,2,12,26,0,0,0,312
532,KADIKOY,KOZYATAGI,40529,3,8,39,208,5,2,20,40,0,0,1,483
533,KADIKOY,MERDIVENKOY,40519,17,42,191,434,17,9,49,96,1,1,1,1533
534,KADIKOY,OSMANAGA,40511,16,33,167,481,10,5,25,46,0,0,1,349
535,KADIKOY,RASIMPASA,40507,18,41,189,518,12,6,31,58,0,0,1,617
536,KADIKOY,SAHRAYICEDIT,40525,4,9,46,204,6,3,24,46,0,0,1,597
537,KADIKOY,SUADIYE,40522,5,12,68,265,5,2,19,37,1,0,1,454
538,KADIKOY,ZUHTUPASA,40513,11,20,78,160,9,4,24,43,0,1,1,485
539,KAGITHANE,CAGLAYAN,40535,6,19,137,462,5,3,19,43,0,0,1,717
540,KAGITHANE,CELIKTEPE,40536,4,11,95,393,4,1,13,30,0,0,0,480
541,KAGITHANE,EMNIYET EVLERI,40537,1,2,17,83,1,0,3,7,0,0,0,106
542,KAGITHANE,GULTEPE,40538,2,6,51,204,2,1,6,13,0,0,0,224
543,KAGITHANE,GURSEL,40539,8,22,137,430,6,3,22,47,0,0,1,774
544,KAGITHANE,HAMIDIYE,40541,3,12,63,252,3,2,16,37,1,1,1,835
545,KAGITHANE,HARMANTEPE,40540,3,10,86,311,2,1,8,20,0,0,0,328
546,KAGITHANE,HURRIYET,40542,4,14,87,313,4,2,11,25,0,0,0,394
547,KAGITHANE,MEHMET AKIF ERSOY,40544,10,25,112,243,8,6,23,44,0,0,1,908
548,KAGITHANE,MERKEZ,40543,11,31,162,459,9,6,29,61,1,1,1,722
549,KAGITHANE,NURTEPE,40545,9,25,123,326,8,5,26,52,0,1,1,865
550,KAGITHANE,ORTABAYIR,40546,3,8,67,276,3,1,10,22,0,0,0,342
551,KAGITHANE,SEYRANTEPE,40548,3,10,71,286,1,0,8,22,0,0,1,410
552,KAGITHANE,SULTAN SELIM,40547,3,9,74,356,3,1,12,28,0,0,1,442
553,KAGITHANE,SIRINTEPE,40549,2,8,55,229,3,1,8,19,0,0,0,349
554,KAGITHANE,TALATPASA,40550,12,32,178,529,12,6,32,68,1,1,1,1049
555,KAGITHANE,TELSIZLER,40551,2,5,41,173,2,1,6,14,0,0,0,180
556,KAGITHANE,YAHYA KEMAL,40552,6,21,125,304,7,4,19,39,0,0,1,607
557,KAGITHANE,YESILCE,40553,2,5,46,187,1,0,4,10,0,0,0,176
558,KARTAL,ATALAR,40554,8,19,131,438,12,5,33,68,1,1,1,985
559,KARTAL,CEVIZLI,40555,8,22,151,435,9,5,27,57,0,0,1,914
560,KARTAL,CUMHURIYET,40556,5,21,141,407,2,0,12,28,0,0,1,653
561,KARTAL,CAVUSOGLU,40558,12,33,170,373,7,3,20,40,0,0,1,678
562,KARTAL,ESENTEPE,40559,9,32,209,564,5,2,21,48,1,1,1,853
563,KARTAL,GUMUSPINAR,40560,6,22,133,366,7,3,22,49,0,0,1,914
564,KARTAL,HURRIYET,40561,19,72,401,948,13,7,48,107,1,1,2,2088
565,KARTAL,KARLIKTEPE,40562,12,31,185,517,11,6,33,68,1,1,1,1217
566,KARTAL,KORDONBOYU,40563,10,24,105,254,10,5,29,55,0,0,2,560
567,KARTAL,ORHANTEPE,40564,22,62,309,618,18,8,57,114,1,1,3,1752
568,KARTAL,ORTA,40565,3,10,72,255,3,1,10,23,0,0,0,425
569,KARTAL,PETROL IS,40566,7,17,109,377,11,5,31,63,1,1,1,905
570,KARTAL,SOGANLIK YENI,40567,6,21,133,397,6,2,20,45,0,0,1,839
571,KARTAL,TOPSELVI,40568,10,29,167,325,8,4,22,44,0,0,1,702
572,KARTAL,UGUR MUMCU,40569,4,9,42,194,16,8,47,91,0,0,1,965
573,KARTAL,YAKACIK CARSI,40557,13,44,199,441,5,3,21,48,1,1,1,774
574,KARTAL,YAKACIK YENI,40570,9,32,152,314,7,4,24,50,0,0,1,920
575,KARTAL,YALI,40571,13,31,148,279,11,7,29,56,0,0,1,775
576,KARTAL,YUKARI,40572,6,15,73,188,6,3,16,31,0,0,0,363
577,KARTAL,YUNUS,40573,17,47,252,483,9,6,31,63,0,1,1,907
578,KUCUKCEKMECE,ATAKENT,40582,8,25,118,356,24,10,82,170,2,2,3,3055
579,KUCUKCEKMECE,ATATURK,40591,32,97,473,985,41,25,115,230,1,1,2,3108
580,KUCUKCEKMECE,BESYOL,40603,7,17,55,88,5,3,14,27,0,0,1,193
581,KUCUKCEKMECE,CENNET,40607,88,134,325,415,126,85,330,567,1,1,3,3933
582,KUCUKCEKMECE,CUMHURIYET,40601,109,209,626,803,148,89,392,696,2,2,5,6445
583,KUCUKCEKMECE,FATIH,40606,54,74,168,184,54,34,140,238,1,1,2,1489
584,KUCUKCEKMECE,FEVZI CAKMAK,40596,84,155,477,603,89,51,232,406,1,1,2,3312
585,KUCUKCEKMECE,GULTEPE,40589,52,116,391,591,68,39,182,332,1,1,3,3207
586,KUCUKCEKMECE,HALKALI MERKEZ,40590,57,163,709,1315,92,53,255,492,2,2,7,5838
587,KUCUKCEKMECE,INONU,40592,95,243,924,1399,143,83,385,711,2,2,6,7372
588,KUCUKCEKMECE,ISTASYON,40605,46,116,452,751,46,29,129,246,1,1,3,3350
589,KUCUKCEKMECE,KANARYA,40604,116,235,802,1210,144,91,384,696,1,1,4,7297
590,KUCUKCEKMECE,KARTALTEPE,40588,62,112,313,374,52,34,137,239,1,1,3,1752
591,KUCUKCEKMECE,KEMALPASA,40594,34,65,219,316,44,24,114,202,0,1,1,1655
592,KUCUKCEKMECE,MEHMET AKIF,40586,21,75,435,991,33,19,95,201,1,1,2,3390
593,KUCUKCEKMECE,SOGUTLU CESME,40587,82,181,645,892,89,51,236,424,1,1,3,3896
594,KUCUKCEKMECE,SULTAN MURAT,40595,42,85,262,329,47,28,125,222,0,1,1,1891
